Datum;Erster;Hoch;Tief;Schlusskurs;Volumen
2018-06-13;1.216,37;1.221,74;1.211,5;1.220;5.601.853.952
2018-06-12;1.219,09;1.222,62;1.212,81;1.214,99;5.271.618.560
2018-06-11;1.211,13;1.215,06;1.206,83;1.213,59;5.264.082.432
2018-06-08;1.205,3;1.209,21;1.193,76;1.206,85;5.471.214.080
2018-06-07;1.216,26;1.220,89;1.207,19;1.210,85;4.593.696.768
2018-06-06;1.210,7;1.217,1;1.205,23;1.213,38;5.203.788.288
2018-06-05;1.207,23;1.221,25;1.206,54;1.209,52;5.438.903.296
2018-06-04;1.208,96;1.212,8;1.201,79;1.207,12;4.024.769.792
2018-06-01;1.197,09;1.208,45;1.196,74;1.202,31;5.372.866.048
2018-05-31;1.205,68;1.207,69;1.187,84;1.192,3;8.877.409.280
2018-05-30;1.196,12;1.205,71;1.195,89;1.205,71;5.764.997.120
2018-05-29;1.208,3;1.209,2;1.192,24;1.196,42;6.839.290.368
2018-05-28;1.225,66;1.229,38;1.212,53;1.215,15;3.199.116.288
2018-05-25;1.216,78;1.225,74;1.213,45;1.220,56;5.062.639.616
2018-05-24;1.222,14;1.225,25;1.208,43;1.212,85;6.174.282.240
2018-05-23;1.237,53;1.237,57;1.219,02;1.222,91;5.632.389.632
2018-05-22;1.235,26;1.242,59;1.231,96;1.239,74;5.675.027.456
2018-05-18;1.235,47;1.236,57;1.229,94;1.232,26;6.306.029.568
2018-05-17;1.223,3;1.234,51;1.223,07;1.234,5;4.980.910.080
2018-05-16;1.222,94;1.226,81;1.221,26;1.223,97;5.032.542.208
2018-05-15;1.220,64;1.224,54;1.217,96;1.221,56;5.268.452.352
2018-05-14;1.224,78;1.225,5;1.218,15;1.222,44;4.182.051.840
2018-05-11;1.226,51;1.226,9;1.221,5;1.224,16;4.845.371.392
2018-05-10;1.221,38;1.226,76;1.218,66;1.226,11;3.854.582.528
2018-05-09;1.214,8;1.220,84;1.214,8;1.219,29;5.801.992.192
2018-05-08;1.218,75;1.218,75;1.211,91;1.217,23;5.264.144.384
2018-05-07;1.207,74;1.220,22;1.207,74;1.219,54;3.907.218.688
2018-05-04;1.199,55;1.206,89;1.198,44;1.206,89;5.814.149.120
2018-05-03;1.204,19;1.205,43;1.194,61;1.196,83;5.491.760.640
2018-05-02;1.188,2;1.207,49;1.187,94;1.205,72;6.531.552.256
2018-04-30;1.185,13;1.188,7;1.184,03;1.187,85;4.618.870.784
2018-04-27;1.183,35;1.189,29;1.179,79;1.184,75;5.122.066.432
2018-04-26;1.169,14;1.178,51;1.166,66;1.178,49;5.899.380.736
2018-04-25;1.177,36;1.177,36;1.160,9;1.169,61;6.289.587.200
2018-04-24;1.184,86;1.191,24;1.178,05;1.183,71;5.706.988.544
2018-04-23;1.184,05;1.187,28;1.177,73;1.186,19;4.356.661.760
2018-04-20;1.185,38;1.187,78;1.179,96;1.183,52;5.875.227.648
2018-04-19;1.188,74;1.189,15;1.183,71;1.186,26;4.225.036.288
2018-04-18;1.187,78;1.191,61;1.184,92;1.188,6;5.019.847.168
2018-04-17;1.172,71;1.189,18;1.171,8;1.186,9;4.930.476.032
2018-04-16;1.177,6;1.178,38;1.168,42;1.169,57;3.592.723.456
2018-04-13;1.175,59;1.180,82;1.172,11;1.174,42;4.431.341.056
2018-04-12;1.160,88;1.173,26;1.158,54;1.171,88;4.827.532.800
2018-04-11;1.168,25;1.169,49;1.158,02;1.161,5;4.902.110.720
2018-04-10;1.161,44;1.171,49;1.161,44;1.169,77;5.452.417.536
2018-04-09;1.160,06;1.166,46;1.153,14;1.157,77;4.054.097.664
2018-04-06;1.156,1;1.159,99;1.151,7;1.155,46;4.716.357.632
2018-04-05;1.130,57;1.161,9;1.130,57;1.160,86;6.013.517.824
2018-04-04;1.135,89;1.136,26;1.116,81;1.129,37;5.786.204.160
2018-04-03;1.138,2;1.141,26;1.127,43;1.135,44;5.341.487.616
2018-03-29;1.131,46;1.148,6;1.131,46;1.144,5;6.807.626.240
2018-03-28;1.128,57;1.131,8;1.116,46;1.130,18;5.709.681.152
2018-03-27;1.118,99;1.140,61;1.118,96;1.135,07;5.332.867.584
2018-03-26;1.130,19;1.136,36;1.114,01;1.118,58;5.233.233.920
2018-03-23;1.137,79;1.138,44;1.120,09;1.127,35;7.233.265.152
2018-03-22;1.159,85;1.160,59;1.136,8;1.144,55;6.787.131.392
2018-03-21;1.166,78;1.167,94;1.160,18;1.164,9;4.785.984.000
2018-03-20;1.158,42;1.166,04;1.154,11;1.165;4.605.086.208
2018-03-19;1.166,61;1.167,66;1.153,29;1.155,89;5.590.592.512
2018-03-16;1.171,86;1.175,14;1.165,43;1.169,08;12.857.784.320
2018-03-15;1.160,75;1.170,33;1.158,71;1.168,05;6.209.304.064
2018-03-14;1.155,59;1.167,28;1.155,59;1.158,61;5.978.284.032
2018-03-13;1.175,91;1.179,51;1.154,47;1.159,03;6.365.156.352
2018-03-12;1.175,85;1.179,11;1.171,05;1.175,79;5.613.185.536
2018-03-09;1.167,18;1.173,26;1.163,54;1.169,27;5.301.626.880
2018-03-08;1.156,46;1.170,67;1.153,21;1.168,51;5.674.250.240
2018-03-07;1.142,24;1.159,92;1.138,37;1.157,52;5.181.489.664
2018-03-06;1.144,46;1.158,21;1.144,42;1.146,46;5.416.844.288
2018-03-05;1.121,2;1.144,14;1.118,84;1.142,45;5.853.408.256
2018-03-02;1.147,64;1.147,64;1.123,5;1.126,19;6.819.477.504
2018-03-01;1.170,56;1.171,61;1.148,48;1.152,05;6.823.285.248
2018-02-28;1.176,79;1.181,46;1.173,7;1.175,06;5.516.472.320
2018-02-27;1.185,06;1.186,87;1.175,83;1.179,53;5.119.670.272
2018-02-26;1.184,25;1.189,72;1.179,51;1.182,89;4.513.451.008
2018-02-23;1.180,38;1.181,33;1.174,63;1.178,69;4.735.200.256
2018-02-22;1.170,31;1.179,52;1.161,45;1.176,88;4.922.967.040
2018-02-21;1.176,32;1.177,58;1.168,52;1.177,58;4.444.732.928
